,median_house_value
472,93600.0
473,171300.0
474,212000.0
475,79700.0
476,413000.0
477,225400.0
478,159000.0
479,235600.0
480,190500.0
481,262100.0
482,292700.0
483,180800.0
484,138200.0
485,223000.0
486,318100.0
487,222500.0
488,353400.0
489,249400.0
490,127200.0
491,126100.0
492,133300.0
493,500001.0
494,218600.0
495,138800.0
496,225000.0
497,300000.0
498,105200.0
499,155400.0
500,120900.0
501,142700.0
502,326000.0
503,150900.0
504,338900.0
505,221500.0
506,88700.0
507,162000.0
508,286700.0
509,127900.0
510,220900.0
511,147100.0
512,112500.0
513,139900.0
514,217500.0
515,193100.0
516,111700.0
517,391000.0
518,295400.0
519,321200.0
520,43900.0
521,154300.0
522,191400.0
523,102400.0
524,164800.0
525,148800.0
526,133400.0
527,219800.0
528,500001.0
529,284100.0
530,162900.0
531,353400.0
532,162500.0
533,217700.0
534,112000.0
535,211300.0
536,287500.0
537,73100.0
538,269100.0
539,70600.0
540,212800.0
541,52600.0
542,68300.0
543,172600.0
544,54300.0
545,282400.0
546,121300.0
547,67500.0
548,238000.0
549,258100.0
550,207700.0
551,150000.0
552,274100.0
553,210900.0
554,88600.0
555,95500.0
556,288200.0
557,390100.0
558,138100.0
559,231400.0
560,163300.0
561,299600.0
562,55900.0
563,125900.0
564,390600.0
565,221000.0
566,71100.0
567,75100.0
568,235700.0
569,306400.0
570,337900.0
571,166800.0
572,336100.0
573,156800.0
574,165500.0
575,331000.0
576,54200.0
577,145500.0
578,500001.0
579,74600.0
580,196000.0
581,100300.0
582,500001.0
583,165200.0
584,208700.0
585,255400.0
586,68500.0
587,123200.0
588,141400.0
589,252400.0
590,131700.0
591,275000.0
592,500001.0
593,145300.0
594,147600.0
595,394000.0
596,180400.0
597,177500.0
598,332500.0
599,190900.0
600,187300.0
601,324400.0
602,162500.0
603,96900.0
604,128900.0
605,281700.0
606,54700.0
607,255300.0
608,275000.0
609,334300.0
610,126100.0
611,254200.0
612,500001.0
613,239700.0
614,187500.0
615,500001.0
616,283300.0
617,82900.0
618,275000.0
619,208400.0
620,126100.0
621,500001.0
622,122500.0
623,225000.0
624,271500.0
625,167200.0
626,168900.0
627,119400.0
628,127400.0
629,185300.0
630,132300.0
631,239900.0
632,68000.0
633,471400.0
634,145600.0
635,108600.0
636,76100.0
637,301700.0
638,132500.0
639,53300.0
640,130400.0
641,133900.0
642,293200.0
643,161800.0
644,162500.0
645,252100.0
646,262400.0
647,217200.0
648,294400.0
649,121700.0
650,244500.0
651,103000.0
652,205100.0
653,331500.0
654,300600.0
655,165800.0
656,53500.0
657,59300.0
658,78800.0
659,500001.0
660,142800.0
661,53500.0
662,94300.0
663,196900.0
664,133200.0
665,63300.0
666,224600.0
667,278600.0
668,123600.0
669,229300.0
670,244900.0
671,134600.0
672,54000.0
673,161700.0
674,218400.0
675,66000.0
676,98200.0
677,190700.0
678,500001.0
679,196300.0
680,315200.0
681,158900.0
682,158900.0
683,128600.0
684,93200.0
685,97600.0
686,93800.0
687,236100.0
688,112500.0
689,95200.0
690,321600.0
691,128100.0
692,151100.0
693,71300.0
694,114000.0
695,178000.0
696,149100.0
697,267000.0
698,303300.0
699,174200.0
700,224100.0
701,121200.0
702,275000.0
703,159800.0
704,132600.0
705,183300.0
706,328600.0
707,206300.0
708,120000.0
709,342900.0
710,219500.0
711,314900.0
712,413100.0
713,222700.0
714,217800.0
715,109400.0
716,285700.0
717,241500.0
718,500001.0
719,268800.0
720,253300.0
721,351200.0
722,87500.0
723,175000.0
724,280200.0
725,384400.0
726,81800.0
727,254200.0
728,290800.0
729,98000.0
730,284600.0
731,195300.0
732,271400.0
733,257600.0
734,45000.0
735,412300.0
736,98100.0
737,471300.0
738,328900.0
739,184400.0
740,98700.0
741,216200.0
742,131900.0
743,111500.0
744,286500.0
745,284900.0
746,208000.0
747,248700.0
748,136000.0
749,486900.0
750,170800.0
751,451300.0
752,348200.0
753,500001.0
754,153300.0
755,277600.0
756,106500.0
757,157500.0
758,152300.0
759,320500.0
760,56700.0
761,132000.0
762,200400.0
763,193200.0
764,141400.0
765,304100.0
766,193800.0
767,62600.0
768,52700.0
769,268300.0
770,72100.0
771,53900.0
772,255800.0
773,500001.0
774,500001.0
775,180000.0
776,273500.0
777,244800.0
778,50000.0
779,142400.0
780,56100.0
781,86500.0
782,122200.0
783,187500.0
784,111100.0
785,54600.0
786,225700.0
787,109800.0
788,191700.0
789,222500.0
790,152500.0
791,293100.0
792,205600.0
793,309200.0
794,141300.0
795,215700.0
796,55000.0
797,356300.0
798,500001.0
799,129700.0
800,500001.0
801,130400.0
802,313800.0
803,179200.0
804,182500.0
805,500001.0
806,155000.0
807,282500.0
808,496400.0
809,313800.0
810,500001.0
811,320300.0
812,112500.0
813,116200.0
814,163500.0
815,196900.0
816,310300.0
817,97900.0
818,210900.0
819,251500.0
820,214200.0
821,500001.0
822,229800.0
823,197500.0
824,148100.0
825,127900.0
826,244700.0
827,145300.0
828,94500.0
829,253300.0
830,147600.0
831,329400.0
832,164900.0
833,309700.0
834,113000.0
835,229100.0
836,221300.0
837,470800.0
838,116800.0
839,500001.0
840,161700.0
841,95000.0
842,291700.0
843,69900.0
844,102300.0
845,108700.0
846,90100.0
847,500001.0
848,143800.0
849,194600.0
850,247700.0
851,470000.0
852,500001.0
853,500001.0
854,226900.0
855,366000.0
856,500001.0
857,216000.0
858,154200.0
859,112800.0
860,139000.0
861,372800.0
862,92700.0
863,90900.0
864,206700.0
865,199300.0
866,66500.0
867,133500.0
868,93300.0
869,370900.0
870,157300.0
871,215500.0
872,273100.0
873,69100.0
874,125000.0
875,411600.0
876,123800.0
877,201500.0
878,232500.0
879,94600.0
880,125800.0
881,60700.0
882,175000.0
883,79500.0
884,139600.0
885,91200.0
886,169700.0
887,402500.0
888,390500.0
889,77500.0
890,328100.0
891,265000.0
892,112500.0
893,214800.0
894,178000.0
895,211500.0
896,271500.0
897,263500.0
898,500001.0
899,178400.0
900,152300.0
901,335900.0
902,270100.0
903,239400.0
904,219700.0
905,166200.0
906,70500.0
907,326700.0
908,233700.0
909,185600.0
910,152500.0
911,371500.0
912,453800.0
913,244900.0
914,225000.0
915,254400.0
916,204700.0
917,143100.0
918,360800.0
919,62000.0
920,76800.0
921,373600.0
922,264200.0
923,67500.0
924,184400.0
925,500001.0
926,311700.0
927,241400.0
928,294400.0
929,381000.0
930,340000.0
931,63400.0
932,218500.0
933,433300.0
934,171000.0
935,124600.0
936,65400.0
937,88300.0
938,176200.0
939,195400.0
940,102400.0
941,500001.0
942,186200.0
943,119800.0
944,278600.0
945,168600.0
946,96900.0
947,75000.0
948,176400.0
949,442700.0
950,333800.0
951,86200.0
952,500001.0
953,145200.0
954,104200.0
955,107900.0
956,303400.0
957,249100.0
958,227700.0
959,203900.0
960,134600.0
961,426100.0
962,95800.0
963,47500.0
964,146900.0
965,191800.0
966,98500.0
967,349000.0
968,122700.0
969,500001.0
970,187100.0
971,254000.0
972,265000.0
973,217100.0
974,129700.0
975,212500.0
976,300700.0
977,185300.0
978,132600.0
979,225000.0
980,281100.0
981,187500.0
982,350000.0
983,126500.0
984,133400.0
985,204500.0
986,215000.0
987,228200.0
988,160100.0
989,162500.0
990,140800.0
991,340700.0
992,460000.0
993,192500.0
994,126400.0
995,169400.0
996,104000.0
997,90200.0
998,87800.0
999,183900.0
1000,320200.0
1001,174000.0
1002,125000.0
1003,70300.0
1004,120800.0
1005,260500.0
1006,431600.0
1007,350000.0
1008,118200.0
1009,109400.0
1010,270600.0
1011,500001.0
1012,434800.0
1013,239800.0
1014,52100.0
1015,130000.0
1016,179200.0
1017,92900.0
1018,308000.0
1019,352200.0
1020,95600.0
1021,136700.0
1022,115500.0
1023,233500.0
1024,350000.0
1025,273600.0
1026,235300.0
1027,500001.0
1028,63200.0
1029,117700.0
1030,263100.0
1031,481500.0
1032,228500.0
1033,279900.0
1034,183000.0
1035,465800.0
1036,150000.0
1037,250900.0
1038,500001.0
1039,120800.0
1040,500001.0
1041,99300.0
1042,173400.0
1043,109500.0
1044,152400.0
1045,157500.0
1046,303100.0
1047,151500.0
1048,117500.0
1049,248800.0
1050,346700.0
1051,367500.0
1052,142100.0
1053,137500.0
1054,163200.0
1055,336800.0
1056,47500.0
1057,136800.0
1058,216600.0
1059,194800.0
1060,151800.0
1061,120600.0
1062,242000.0
1063,330200.0
1064,217000.0
1065,166200.0
1066,153100.0
1067,290500.0
1068,173900.0
1069,268900.0
1070,144600.0
1071,151900.0
1072,156300.0
1073,91700.0
1074,315000.0
1075,174100.0
1076,107200.0
1077,109000.0
1078,73300.0
1079,62300.0
1080,400000.0
1081,62900.0
1082,204300.0
1083,249500.0
1084,500001.0
1085,286100.0
1086,500001.0
1087,360700.0
1088,132300.0
1089,253700.0
1090,79800.0
1091,87500.0
1092,161300.0
1093,70000.0
1094,101400.0
1095,395500.0
1096,133200.0
1097,285300.0
1098,208200.0
1099,189000.0
1100,53200.0
1101,302100.0
1102,213800.0
1103,297500.0
1104,279300.0
1105,134200.0
1106,175000.0
1107,122300.0
1108,73200.0
1109,499000.0
1110,134800.0
1111,500001.0
1112,299000.0
1113,325000.0
1114,114600.0
1115,223000.0
1116,148800.0
1117,101500.0
1118,122500.0
1119,224200.0
1120,209300.0
1121,141300.0
1122,143000.0
1123,106900.0
1124,288300.0
1125,398200.0
1126,61800.0
1127,137500.0
1128,365300.0
1129,174100.0
1130,137500.0
1131,132000.0
1132,160700.0
1133,172800.0
1134,262000.0
1135,130000.0
1136,46700.0
1137,137500.0
1138,122300.0
1139,90000.0
1140,92400.0
1141,199600.0
1142,228000.0
1143,225000.0
1144,242100.0
1145,500001.0
1146,141600.0
1147,131100.0
1148,340000.0
1149,283800.0
1150,104000.0
1151,189500.0
1152,169500.0
1153,189900.0
1154,334900.0
1155,407000.0
1156,178600.0
1157,245800.0
1158,149700.0
1159,500001.0
1160,258300.0
1161,146900.0
1162,128800.0
1163,311100.0
1164,325000.0
1165,225600.0
1166,191400.0
1167,179200.0
1168,196100.0
1169,105300.0
1170,86900.0
1171,102000.0
1172,500001.0
1173,58100.0
1174,195800.0
1175,326700.0
1176,205400.0
1177,146800.0
1178,255000.0
1179,162400.0
1180,170700.0
1181,112600.0
1182,306700.0
1183,268800.0
1184,181800.0
1185,181300.0
1186,156000.0
1187,337800.0
1188,353100.0
1189,140700.0
1190,70700.0
1191,168700.0
1192,218800.0
1193,229400.0
1194,97300.0
1195,160600.0
1196,177200.0
1197,500001.0
1198,72300.0
1199,431800.0
1200,117400.0
1201,112500.0
1202,80600.0
1203,163000.0
1204,500001.0
1205,98600.0
1206,208100.0
1207,417100.0
1208,213000.0
1209,162600.0
1210,161500.0
1211,74600.0
1212,233600.0
1213,180700.0
1214,316700.0
1215,253600.0
1216,179900.0
1217,83300.0
1218,140600.0
1219,266300.0
1220,500001.0
1221,139800.0
1222,153700.0
1223,182400.0
1224,218400.0
1225,262500.0
1226,130300.0
1227,149600.0
1228,123900.0
1229,307000.0
1230,259800.0
1231,162500.0
1232,129500.0
1233,93800.0
1234,350000.0
1235,500001.0
1236,168100.0
1237,158100.0
1238,113600.0
1239,381500.0
1240,350000.0
1241,219900.0
1242,139200.0
1243,270100.0
1244,275000.0
1245,187500.0
1246,158300.0
1247,327700.0
1248,94600.0
1249,278500.0
1250,120000.0
1251,299500.0
1252,414300.0
1253,241900.0
1254,254500.0
1255,408500.0
1256,104400.0
1257,214600.0
1258,74300.0
1259,265500.0
1260,197000.0
1261,130700.0
1262,115700.0
1263,99100.0
1264,410500.0
1265,136500.0
1266,86600.0
1267,216900.0
1268,318200.0
1269,265000.0
1270,414300.0
1271,262500.0
1272,222700.0
1273,162500.0
1274,196100.0
1275,221900.0
1276,460400.0
1277,247100.0
1278,197500.0
1279,330000.0
1280,245600.0
1281,82500.0
1282,68000.0
1283,128300.0
1284,113500.0
1285,325000.0
1286,261000.0
1287,122500.0
1288,353600.0
1289,54400.0
1290,134300.0
1291,303900.0
1292,337400.0
1293,60000.0
1294,162500.0
1295,59400.0
1296,76800.0
1297,107600.0
1298,247800.0
1299,305100.0
1300,231900.0
1301,217600.0
1302,367400.0
1303,98200.0
1304,184400.0
1305,193800.0
1306,177900.0
1307,157500.0
1308,190400.0
1309,162800.0
1310,189600.0
1311,197600.0
1312,191100.0
1313,165300.0
1314,136200.0
1315,336400.0
1316,88800.0
1317,265400.0
1318,105000.0
1319,380400.0
1320,187500.0
1321,72700.0
1322,182200.0
1323,430200.0
1324,376000.0
1325,88000.0
1326,54100.0
1327,67900.0
1328,500001.0
1329,100000.0
1330,131300.0
1331,268400.0
1332,89100.0
1333,179200.0
1334,107600.0
1335,83200.0
1336,204200.0
1337,157500.0
1338,100000.0
1339,244100.0
1340,500001.0
1341,217800.0
1342,409600.0
1343,181300.0
1344,333700.0
1345,138100.0
1346,89600.0
1347,227700.0
1348,195300.0
1349,352700.0
1350,83400.0
1351,292000.0
1352,113900.0
1353,271500.0
1354,165600.0
1355,232600.0
1356,102000.0
1357,49500.0
1358,195200.0
1359,500001.0
1360,458300.0
1361,156800.0
1362,226000.0
1363,69000.0
1364,258600.0
1365,199000.0
1366,62300.0
1367,193100.0
1368,430600.0
1369,51600.0
1370,86900.0
1371,67000.0
1372,91500.0
1373,95300.0
1374,105900.0
1375,154200.0
1376,200000.0
1377,149600.0
1378,240100.0
1379,261500.0
1380,174600.0
1381,261100.0
1382,420800.0
1383,175900.0
1384,211900.0
1385,229100.0
1386,374200.0
1387,111400.0
1388,138800.0
1389,95700.0
1390,500001.0
1391,500001.0
1392,42500.0
1393,109200.0
1394,174500.0
1395,57400.0
1396,324600.0
1397,282700.0
1398,234600.0
1399,165500.0
1400,233300.0
1401,172700.0
1402,278300.0
1403,266400.0
1404,189300.0
1405,93900.0
1406,142600.0
1407,108200.0
1408,275000.0
1409,232000.0
1410,164400.0
1411,500001.0
1412,120100.0
1413,100300.0
1414,71900.0
1415,61200.0
1416,198500.0
1417,184400.0
1418,237400.0
1419,58300.0
1420,450000.0
1421,156300.0
1422,351100.0
1423,274100.0
1424,170500.0
1425,111600.0
1426,296100.0
1427,166700.0
1428,106400.0
1429,295300.0
1430,112500.0
1431,72400.0
1432,229300.0
1433,55200.0
1434,208900.0
1435,253800.0
1436,112500.0
1437,229400.0
1438,185100.0
1439,191400.0
1440,260500.0
1441,97500.0
1442,500001.0
1443,500001.0
1444,221000.0
1445,86900.0
1446,108800.0
1447,208600.0
1448,500001.0
1449,195800.0
1450,150000.0
1451,250300.0
1452,50000.0
1453,60800.0
1454,324300.0
1455,347100.0
1456,325900.0
1457,371400.0
1458,172600.0
1459,94600.0
1460,322800.0
1461,191700.0
1462,127300.0
1463,242300.0
1464,210700.0
1465,120400.0
1466,262400.0
1467,216500.0
1468,74800.0
1469,76800.0
1470,290600.0
1471,78100.0
1472,357100.0
1473,267400.0
1474,146600.0
1475,126800.0
1476,487200.0
1477,114600.0
1478,313100.0
1479,144800.0
1480,221300.0
1481,318600.0
1482,97200.0
1483,243000.0
1484,281000.0
1485,228900.0
1486,261300.0
1487,131700.0
1488,185500.0
1489,191900.0
1490,233600.0
1491,198500.0
1492,221700.0
1493,316500.0
1494,152400.0
1495,326400.0
1496,99300.0
1497,292500.0
1498,163100.0
1499,302600.0
1500,110000.0
1501,94900.0
1502,500001.0
1503,290700.0
1504,146900.0
1505,122700.0
1506,110400.0
1507,94800.0
1508,140000.0
1509,191100.0
1510,169800.0
1511,305400.0
1512,398500.0
1513,314000.0
1514,184200.0
1515,248600.0
1516,156100.0
1517,86500.0
1518,274100.0
1519,198100.0
1520,128900.0
1521,179500.0
1522,275000.0
1523,94900.0
1524,194100.0
1525,400000.0
1526,112500.0
1527,158300.0
1528,187800.0
1529,97100.0
1530,131700.0
1531,363200.0
1532,400000.0
1533,163000.0
1534,500001.0
1535,137500.0
1536,144200.0
1537,91500.0
1538,500001.0
1539,161800.0
1540,278100.0
1541,169300.0
1542,110700.0
1543,252100.0
1544,123500.0
1545,272200.0
1546,61400.0
1547,332600.0
1548,69400.0
1549,265600.0
1550,435900.0
1551,266700.0
1552,93900.0
1553,382400.0
1554,82300.0
1555,283300.0
1556,455400.0
1557,148500.0
1558,260500.0
1559,140200.0
1560,277300.0
1561,142000.0
1562,291700.0
1563,107100.0
1564,68900.0
1565,500001.0
1566,215300.0
1567,161400.0
1568,165900.0
1569,58800.0
1570,260900.0
1571,306300.0
1572,199500.0
1573,306800.0
1574,100100.0
1575,310900.0
1576,342200.0
1577,125000.0
1578,213500.0
1579,213200.0
1580,117300.0
1581,199700.0
1582,160300.0
1583,234000.0
1584,165100.0
1585,265200.0
1586,202000.0
1587,239900.0
1588,231600.0
1589,122700.0
1590,337500.0
1591,104200.0
1592,347800.0
1593,366300.0
1594,48300.0
1595,163600.0
1596,350000.0
1597,443300.0
1598,141100.0
1599,226900.0
1600,90600.0
1601,136300.0
1602,196400.0
1603,140300.0
1604,125900.0
1605,126200.0
1606,44600.0
1607,275000.0
1608,49500.0
1609,354700.0
1610,119400.0
1611,450000.0
1612,253400.0
1613,189900.0
1614,225000.0
1615,248300.0
1616,71300.0
1617,105100.0
1618,81800.0
1619,144500.0
1620,73700.0
1621,76400.0
1622,83800.0
1623,101900.0
1624,233300.0
1625,114300.0
1626,97500.0
1627,137500.0
1628,500001.0
1629,297200.0
1630,124100.0
1631,241300.0
1632,71200.0
1633,346700.0
1634,186500.0
1635,264000.0
1636,229000.0
1637,253800.0
1638,315300.0
1639,133900.0
1640,196600.0
1641,218900.0
1642,162500.0
1643,174700.0
1644,164000.0
1645,123800.0
1646,100000.0
1647,375000.0
1648,439200.0
1649,88300.0
1650,500001.0
1651,153500.0
1652,245700.0
1653,123800.0
1654,205400.0
1655,205200.0
1656,203900.0
1657,146200.0
1658,98100.0
1659,196900.0
1660,261100.0
1661,469800.0
1662,153700.0
1663,68400.0
1664,165400.0
1665,273600.0
1666,292900.0
1667,159700.0
1668,242700.0
1669,209700.0
1670,263400.0
1671,108900.0
1672,124400.0
1673,55700.0
1674,227800.0
1675,500001.0
1676,292900.0
1677,181600.0
1678,422700.0
1679,112900.0
1680,97900.0
1681,142500.0
1682,287300.0
1683,166100.0
1684,105500.0
1685,264000.0
1686,57200.0
1687,178000.0
1688,329600.0
1689,265700.0
1690,166700.0
1691,111500.0
1692,187200.0
1693,500001.0
1694,187700.0
1695,73300.0
1696,62800.0
1697,78900.0
1698,172700.0
1699,241700.0
1700,123500.0
1701,344700.0
1702,86900.0
1703,97000.0
1704,342300.0
1705,329300.0
1706,213200.0
1707,194100.0
1708,123800.0
1709,290500.0
1710,155500.0
1711,126200.0
1712,157400.0
1713,241700.0
1714,167500.0
1715,183800.0
1716,259600.0
1717,241600.0
1718,500001.0
1719,173200.0
1720,147800.0
1721,234600.0
1722,142200.0
1723,305600.0
1724,183100.0
1725,154700.0
1726,202600.0
1727,143800.0
1728,233900.0
1729,140400.0
1730,219400.0
1731,385200.0
1732,51400.0
1733,85900.0
1734,113700.0
1735,278000.0
1736,105800.0
1737,224200.0
1738,159900.0
1739,205200.0
1740,275000.0
1741,58900.0
1742,113900.0
1743,94600.0
1744,158100.0
1745,229000.0
1746,189900.0
1747,232600.0
1748,330800.0
1749,103300.0
1750,191800.0
1751,181200.0
1752,50000.0
1753,150600.0
1754,500001.0
1755,153800.0
1756,234300.0
1757,123600.0
1758,187500.0
1759,187500.0
1760,255600.0
1761,200300.0
1762,178400.0
1763,197600.0
1764,360700.0
1765,129800.0
1766,74700.0
1767,287800.0
1768,110300.0
1769,148000.0
1770,344200.0
1771,121400.0
1772,226500.0
1773,160500.0
1774,376200.0
1775,325000.0
1776,172800.0
1777,417000.0
1778,190800.0
1779,194600.0
1780,245200.0
1781,482200.0
1782,92400.0
1783,135100.0
1784,416700.0
1785,261000.0
1786,500001.0
1787,500001.0
1788,113600.0
1789,264400.0
1790,114700.0
1791,62000.0
1792,318200.0
1793,191100.0
1794,135600.0
1795,127900.0
1796,118000.0
1797,465600.0
1798,411200.0
1799,418800.0
1800,162500.0
1801,100500.0
1802,313400.0
1803,359900.0
1804,89400.0
1805,99900.0
1806,120200.0
1807,253900.0
1808,92700.0
1809,144000.0
1810,190400.0
1811,287500.0
1812,429100.0
1813,132500.0
1814,134400.0
1815,52600.0
1816,245700.0
1817,276200.0
1818,181400.0
1819,225200.0
1820,275000.0
1821,500001.0
1822,100000.0
1823,500001.0
1824,95300.0
1825,227500.0
1826,87500.0
1827,109100.0
1828,117100.0
1829,162900.0
1830,202100.0
1831,132600.0
1832,268800.0
1833,132900.0
1834,104600.0
1835,116300.0
1836,161900.0
1837,289000.0
1838,87500.0
1839,60000.0
1840,177000.0
1841,362700.0
1842,85400.0
1843,183400.0
1844,213000.0
1845,325200.0
1846,412700.0
1847,247600.0
1848,293500.0
1849,198400.0
1850,188300.0
1851,180700.0
1852,118800.0
1853,85500.0
1854,165000.0
1855,80400.0
1856,153000.0
1857,240900.0
1858,214300.0
1859,286600.0
1860,380800.0
1861,258300.0
1862,145200.0
1863,153800.0
1864,113500.0
1865,241900.0
1866,138000.0
1867,69600.0
1868,150000.0
1869,251100.0
1870,313100.0
1871,105600.0
1872,363000.0
