,0
1138,15614
1139,18376
1140,13066
1141,11662
1142,1086
1143,16247
1144,10288
1145,19359
1146,5789
1147,7936
1148,5074
1149,17322
1150,7805
1151,11800
1152,13496
1153,16416
1154,6546
1155,16040
1156,4587
1157,15687
1158,3032
1159,13267
1160,19624
1161,12772
1162,1267
1163,10274
1164,4705
1165,19850
1166,4820
1167,14168
1168,14178
1169,10365
1170,15018
1171,19805
1172,723
1173,10678
1174,7677
1175,11575
1176,18623
1177,18124
1178,16497
1179,9418
1180,10203
1181,1153
1182,7146
1183,10031
1184,20486
1185,20241
1186,4708
1187,16568
1188,12300
1189,2414
1190,5507
1191,8156
1192,3948
1193,15424
1194,5745
1195,16620
1196,8682
1197,7940
1198,13161
1199,383
1200,17076
1201,12987
1202,9538
1203,328
1204,17263
1205,2485
1206,14026
1207,3187
1208,8758
1209,20180
1210,8803
1211,3649
1212,14976
1213,1417
1214,6602
1215,17609
1216,17279
1217,8589
1218,9967
1219,14436
1220,9857
1221,11277
1222,11719
1223,10965
1224,14270
1225,8515
1226,16191
1227,18823
1228,4387
1229,14076
1230,9245
1231,11627
1232,15247
1233,3174
1234,8601
1235,7569
1236,12779
1237,4791
1238,3107
1239,16194
1240,6353
1241,13665
1242,19952
1243,20095
1244,8612
1245,16930
1246,6831
1247,14407
1248,18729
1249,5182
1250,9392
1251,18139
1252,18600
1253,5429
1254,1878
1255,17368
1256,13356
1257,1232
1258,20506
1259,19346
1260,8872
1261,12879
1262,10131
1263,20282
1264,20105
1265,2711
1266,14532
1267,17769
1268,3615
1269,9711
1270,10681
1271,13745
1272,18773
1273,10854
1274,17652
1275,13178
1276,13253
1277,9994
1278,14856
1279,12583
1280,14062
1281,12307
1282,5579
1283,18111
1284,7404
1285,2508
1286,6263
1287,12197
1288,14109
1289,11173
1290,2133
1291,12316
1292,2142
1293,12765
1294,7281
1295,9286
1296,376
1297,4481
1298,15434
1299,12341
1300,1988
1301,10237
1302,17943
1303,2322
1304,7547
1305,5298
1306,6498
1307,10766
1308,17502
1309,17054
1310,13078
1311,8656
1312,12415
1313,19434
1314,5166
1315,1323
1316,17621
1317,13323
1318,18988
1319,4914
1320,9330
1321,13893
1322,1991
1323,13765
1324,940
1325,11826
1326,2797
1327,20246
1328,15120
1329,18496
1330,7188
1331,908
1332,1478
1333,8387
1334,11954
1335,14071
1336,16918
1337,3131
1338,2999
1339,11625
1340,4534
1341,14383
1342,14385
1343,5364
1344,2905
1345,3008
1346,7618
1347,7399
1348,6121
1349,16130
1350,17611
1351,4527
1352,8697
1353,4307
1354,12712
1355,16274
1356,7979
1357,14933
1358,609
1359,17595
1360,16561
1361,217
1362,19982
1363,8689
1364,15789
1365,7388
1366,11309
1367,6696
1368,16094
1369,15978
1370,5917
1371,20278
1372,3788
1373,18004
1374,10597
1375,3790
1376,19841
1377,361
1378,16219
1379,16864
1380,2178
1381,5676
1382,19572
1383,11561
1384,11120
1385,16556
1386,12676
1387,11386
1388,11517
1389,17159
1390,4170
1391,17617
1392,16780
1393,4323
1394,14323
1395,11241
1396,16119
1397,19950
1398,17741
1399,14238
1400,14699
1401,16159
1402,4768
1403,17091
1404,16466
1405,14031
1406,2559
1407,15325
1408,930
1409,1571
1410,20059
1411,7614
1412,3968
1413,8318
1414,15944
1415,16379
1416,1213
1417,6940
1418,5679
1419,12335
1420,8287
1421,2707
1422,179
1423,12069
1424,1167
1425,13020
1426,169
1427,16564
1428,17695
1429,3425
1430,7792
1431,13375
1432,226
1433,8036
1434,3362
1435,1676
1436,17154
1437,4668
1438,2623
1439,6617
1440,13202
1441,9536
1442,9315
1443,13693
1444,5794
1445,1114
1446,5836
1447,20363
1448,1499
1449,12668
1450,6471
1451,13791
1452,7472
1453,19560
1454,3683
1455,16173
1456,670
1457,20474
1458,19828
1459,3942
1460,6537
1461,4171
1462,1257
1463,6717
1464,7926
1465,16106
1466,1071
1467,13044
1468,5553
1469,19497
1470,12522
1471,2329
1472,20531
1473,7477
1474,7723
1475,14538
1476,15369
1477,1525
1478,5124
1479,15700
1480,16880
1481,16833
1482,2738
1483,2451
1484,5545
1485,2367
1486,4269
1487,2684
1488,13966
1489,9018
1490,340
1491,5103
1492,3525
1493,3935
1494,14990
1495,10247
1496,19819
1497,19181
1498,10741
1499,13298
1500,929
1501,7798
1502,9341
1503,17764
1504,17707
1505,4839
1506,7570
1507,3689
1508,6792
1509,12188
1510,12852
1511,20624
1512,3405
1513,15803
1514,20356
1515,15467
1516,14205
1517,11112
1518,5509
1519,17038
1520,18347
1521,4916
1522,5902
1523,6615
1524,4207
1525,20300
1526,336
1527,8022
1528,13691
1529,7212
1530,14815
1531,15235
1532,9431
1533,2001
1534,9676
1535,14780
1536,12210
1537,591
1538,5746
1539,10499
1540,10691
1541,17947
1542,10911
1543,14676
1544,8761
1545,1345
1546,8071
1547,9254
1548,9327
1549,19207
1550,8871
1551,15975
1552,19479
1553,4330
1554,9904
1555,7700
1556,20012
1557,19357
1558,2677
1559,3027
1560,1954
1561,13306
1562,9215
1563,11318
1564,2328
1565,12126
1566,17839
1567,2715
1568,266
1569,12393
1570,1221
1571,14721
1572,7531
1573,13563
1574,10570
1575,13518
1576,19427
1577,10215
1578,4189
1579,13939
1580,3918
1581,2313
1582,10548
1583,3608
1584,11279
1585,17669
1586,1809
1587,1301
1588,11421
1589,2121
1590,5266
1591,11933
1592,14127
1593,12400
1594,17781
1595,2612
1596,2139
1597,9894
1598,15935
1599,1410
1600,632
1601,14949
1602,9311
1603,8096
1604,19151
1605,17192
1606,11869
1607,964
1608,18023
1609,20236
1610,19483
1611,2174
1612,7362
1613,14544
1614,15574
1615,18606
1616,10913
1617,14514
1618,12395
1619,4316
1620,3113
1621,16382
1622,20537
1623,19365
1624,69
1625,642
1626,14714
1627,14460
1628,9891
1629,16224
1630,10564
1631,19268
1632,16153
1633,5935
1634,1014
1635,16852
1636,2718
1637,5399
1638,5822
1639,5715
1640,9447
1641,1332
1642,16799
1643,16872
1644,7187
1645,537
1646,17519
1647,1573
1648,11700
1649,3963
1650,10735
1651,12563
1652,15322
1653,7604
1654,14672
1655,12836
1656,3714
1657,3471
1658,17062
1659,13398
1660,15207
1661,6869
1662,14869
1663,6661
1664,13663
1665,9217
1666,7983
1667,6526
1668,5310
1669,13567
1670,20325
1671,8053
1672,19577
1673,1367
1674,19797
1675,8690
1676,1310
1677,8158
1678,18381
1679,18269
1680,13018
1681,15456
1682,7047
1683,17620
1684,10953
1685,15278
1686,7666
1687,17575
1688,13885
1689,1116
1690,5969
1691,3124
1692,10888
1693,13727
1694,13706
1695,18316
1696,6544
1697,6968
1698,12050
1699,14271
1700,5817
1701,2875
1702,4462
1703,6803
1704,20611
1705,16532
1706,359
1707,6080
1708,20270
1709,7408
1710,10549
1711,8321
1712,17024
1713,17765
1714,5435
1715,1372
1716,4260
1717,4978
1718,4008
1719,18687
1720,10128
1721,19804
1722,19974
1723,19330
1724,548
1725,13053
1726,18793
1727,5586
1728,9362
1729,5785
1730,13571
1731,10475
1732,13715
1733,3656
1734,13156
1735,13181
1736,17325
1737,12966
1738,10771
1739,18396
1740,15109
1741,13249
1742,15959
1743,18893
1744,11183
1745,5627
1746,19812
1747,13486
1748,7679
1749,15685
1750,19648
1751,17214
1752,20504
1753,9379
1754,5774
1755,4862
1756,5478
1757,8666
1758,11205
1759,8407
1760,18946
1761,7031
1762,16826
1763,17218
1764,11690
1765,13162
1766,5061
1767,5006
1768,16436
1769,9798
1770,15624
1771,11968
1772,14708
1773,3827
1774,762
1775,11804
1776,12191
1777,7411
1778,15615
1779,16449
1780,10571
1781,18399
1782,4037
1783,11708
1784,17745
1785,17752
1786,1654
1787,19144
1788,10738
1789,17533
1790,10640
1791,18527
1792,12491
1793,18646
1794,4737
1795,2992
1796,19826
1797,290
1798,18636
1799,3205
1800,20441
1801,18166
1802,2383
1803,11335
1804,16609
1805,1727
1806,313
1807,449
1808,14681
1809,11632
1810,16455
1811,19117
1812,5560
1813,14601
1814,15085
1815,9687
1816,8435
1817,1471
1818,13857
1819,8176
1820,9211
1821,8447
1822,7765
1823,17977
1824,14630
1825,3493
1826,7655
1827,5076
1828,6844
1829,6139
1830,16340
1831,490
1832,16680
1833,3299
1834,3319
1835,12628
1836,12560
1837,9761
1838,8865
1839,11998
1840,5468
1841,14822
1842,3060
1843,18165
1844,15069
1845,19944
1846,13016
1847,9010
1848,3597
1849,14752
1850,5972
1851,18369
1852,6880
1853,3693
1854,12026
1855,16162
1856,3450
1857,16660
1858,13694
1859,4812
1860,19226
1861,16696
1862,20308
1863,994
1864,2295
1865,15026
1866,13423
1867,18271
1868,16598
1869,19626
1870,1356
1871,6800
1872,554
1873,10101
1874,8814
1875,14599
1876,8094
1877,9430
1878,15589
1879,4745
1880,18220
1881,12140
1882,945
1883,15315
1884,20622
1885,1325
1886,1542
1887,5670
1888,16355
1889,10272
1890,19921
1891,14153
1892,8179
1893,7193
1894,16960
1895,4284
1896,16728
1897,5637
1898,2406
1899,9323
1900,15005
1901,14712
1902,1376
1903,718
1904,11768
1905,5317
1906,18064
1907,5434
1908,17619
1909,9835
1910,13732
1911,6861
1912,13761
1913,19194
1914,2621
1915,1128
1916,16737
1917,2853
1918,3215
1919,18700
1920,9394
1921,9435
1922,16769
1923,4040
1924,16285
1925,4109
1926,16334
1927,15396
1928,1060
1929,6571
1930,11132
1931,10163
1932,2942
1933,11172
1934,3223
1935,4819
1936,20348
1937,16427
1938,15083
1939,12466
1940,8112
1941,19389
1942,14438
1943,19132
1944,18037
1945,11631
1946,12719
1947,19553
1948,2162
1949,10696
1950,5430
1951,16687
1952,12225
1953,4575
1954,14958
1955,4056
1956,7017
1957,3831
1958,1437
1959,15484
1960,7867
1961,12155
1962,10162
1963,1816
1964,4683
1965,18356
1966,693
1967,11660
1968,11359
1969,7130
1970,16750
1971,11276
1972,17276
1973,16067
1974,18361
1975,9609
1976,3436
1977,12840
1978,4101
1979,4783
1980,8351
1981,14439
1982,6855
1983,3446
1984,14149
1985,15920
1986,15475
1987,19683
1988,13254
1989,10071
1990,18800
1991,17488
1992,11613
1993,17960
1994,15915
1995,11747
1996,18958
1997,1290
1998,11752
1999,10156
2000,9086
2001,2576
2002,15628
2003,8084
2004,1059
2005,12498
2006,18968
2007,19911
2008,1969
2009,12238
2010,2977
2011,2724
2012,9088
2013,15929
2014,3895
2015,16223
2016,6982
2017,4136
2018,17110
2019,965
2020,13344
2021,5965
2022,12771
2023,10250
2024,829
2025,20566
2026,7571
2027,19848
2028,755
2029,4272
2030,1360
2031,18534
2032,20551
2033,7990
2034,7346
2035,11440
2036,10159
2037,6506
2038,14927
2039,16807
2040,11486
2041,14886
2042,6822
2043,1784
2044,19884
2045,7891
2046,6050
2047,17535
2048,6292
2049,8676
2050,4355
2051,17061
2052,15912
2053,10305
2054,17719
2055,17792
2056,11041
2057,6385
2058,20607
2059,3928
2060,8099
2061,17058
2062,13397
2063,9683
2064,6600
2065,15111
2066,1998
2067,10451
2068,4358
2069,13396
2070,11948
2071,17998
2072,14381
2073,15681
2074,12854
2075,16005
2076,4658
2077,240
2078,16370
2079,15784
2080,13859
2081,9959
2082,9298
2083,19046
2084,10155
2085,19615
2086,11349
2087,17030
2088,8205
2089,8965
2090,5967
2091,19780
2092,3442
2093,11079
2094,354
2095,10437
2096,12530
2097,11442
2098,6598
2099,5305
2100,13487
2101,12294
2102,1818
2103,13278
2104,16816
2105,14033
2106,2965
2107,10356
2108,11232
2109,7102
2110,18281
2111,12808
2112,13750
2113,4293
2114,11094
2115,18117
2116,3872
2117,12575
2118,2881
2119,4370
2120,9844
2121,8295
2122,1297
2123,18846
2124,20122
2125,7000
2126,19843
2127,16626
2128,15216
2129,6391
2130,14403
2131,9808
2132,8762
2133,3863
2134,3418
2135,13359
2136,15957
2137,16246
2138,14558
2139,18175
2140,18853
2141,3920
2142,544
2143,14064
2144,9438
2145,19758
2146,10243
2147,4224
2148,9154
2149,18603
2150,11992
2151,7945
2152,3868
2153,9204
2154,5781
2155,18756
2156,6677
2157,124
2158,13481
2159,13093
2160,10405
2161,8192
2162,4518
2163,14001
2164,16308
2165,3806
2166,11151
2167,11119
2168,3245
2169,13284
2170,14315
2171,18549
2172,1912
2173,739
2174,17130
2175,10298
2176,11347
2177,5772
2178,12747
2179,20075
2180,189
2181,7742
2182,20568
2183,19243
2184,1851
2185,3279
2186,14709
2187,19738
2188,10277
2189,1639
2190,16708
2191,4932
2192,3873
2193,1113
2194,6461
2195,2996
2196,7402
2197,11396
2198,9553
2199,9198
2200,13065
2201,11159
2202,16165
2203,6572
2204,7870
2205,8917
2206,4196
2207,15716
2208,10048
2209,16138
2210,18163
2211,525
2212,2109
2213,18296
2214,13652
2215,9448
2216,20513
2217,12647
2218,13244
2219,20413
2220,1442
2221,1797
2222,8093
2223,19335
2224,6931
2225,4474
2226,5844
2227,20541
2228,10987
2229,6525
2230,2182
2231,9493
2232,19096
2233,13681
2234,5631
2235,4617
2236,16933
2237,13883
2238,17312
2239,7727
2240,16722
2241,17543
2242,19036
2243,3284
2244,12243
2245,10701
2246,4346
2247,18136
2248,10661
2249,1505
2250,7504
2251,16910
2252,1391
2253,18875
2254,13849
2255,14574
2256,11140
2257,8886
2258,12956
2259,450
2260,9113
2261,18439
2262,11901
2263,10729
2264,2061
2265,19852
2266,9126
2267,5811
2268,15236
2269,14484
2270,10467
2271,1638
2272,11387
2273,1126
2274,16861
2275,13224
2276,12659
2277,19398
2278,14580
2279,3396
2280,5360
2281,659
2282,20035
2283,15607
2284,10344
2285,14870
2286,19146
2287,18450
2288,17145
2289,857
2290,12183
2291,14224
2292,15044
2293,9436
2294,4894
2295,8740
2296,12497
2297,4070
2298,9723
2299,1079
2300,2323
2301,8986
2302,7788
2303,14772
2304,8897
2305,18021
2306,5731
2307,937
2308,11925
2309,16939
2310,11760
2311,4824
2312,1723
2313,2023
2314,8054
2315,14333
2316,14343
2317,8175
2318,9167
2319,6636
2320,12950
2321,7992
2322,5641
2323,20453
2324,12679
2325,341
2326,10036
2327,5501
2328,15744
2329,11586
2330,4364
2331,8942
2332,16646
2333,3550
2334,10910
2335,1509
2336,11500
2337,1472
2338,5842
2339,17468
2340,9745
2341,8711
2342,2376
2343,17597
2344,11030
2345,9207
2346,2157
2347,9742
2348,19189
2349,834
2350,18205
2351,255
2352,12285
2353,18466
2354,3031
2355,19485
2356,14038
2357,8005
2358,10734
2359,2700
2360,18083
2361,1914
2362,4900
2363,20382
2364,17773
2365,15149
2366,12029
2367,3098
2368,11999
2369,13070
2370,16069
2371,4428
2372,18055
2373,19509
2374,3081
2375,12531
2376,15404
2377,12816
2378,11710
2379,14906
2380,8552
2381,4441
2382,3702
2383,2232
2384,18740
2385,10698
2386,6069
2387,745
2388,10506
2389,17234
2390,14501
2391,18470
2392,11068
2393,5652
2394,18202
2395,7957
2396,369
2397,6511
2398,389
2399,4810
2400,18616
2401,19499
2402,5940
2403,100
2404,16969
2405,5441
2406,7289
2407,127
2408,6643
2409,6852
2410,17318
2411,6663
2412,19866
2413,18130
2414,9715
2415,9870
2416,13071
2417,7453
2418,14825
2419,474
2420,12924
2421,17424
2422,4591
2423,5730
2424,4595
2425,204
2426,274
2427,766
2428,7901
2429,6664
2430,2693
2431,6214
2432,7371
2433,9121
2434,6126
2435,1454
2436,679
2437,12236
2438,18940
2439,10051
2440,18652
2441,6171
2442,14164
2443,8380
2444,19714
2445,4895
2446,13865
2447,4771
2448,18133
2449,6866
2450,1855
2451,3286
2452,14180
2453,4448
2454,11636
2455,9371
2456,10941
2457,282
2458,10178
2459,11674
2460,8877
2461,9921
2462,10301
2463,17630
2464,10176
2465,18833
2466,11707
2467,8116
2468,17864
2469,1236
2470,5264
2471,14223
2472,7007
2473,1651
2474,12533
2475,6426
2476,19872
2477,1846
2478,16072
2479,9568
2480,4872
2481,14665
2482,948
2483,19033
2484,20488
2485,4732
2486,1754
2487,15229
2488,2673
2489,13762
2490,1209
2491,7671
2492,19311
2493,4407
2494,8970
2495,15569
2496,15738
2497,191
2498,17151
2499,14482
2500,20030
2501,20070
2502,4500
2503,13866
2504,2107
2505,9221
2506,13176
2507,5727
2508,16115
2509,4159
2510,15583
2511,14760
2512,3723
2513,3150
2514,19186
2515,7414
2516,19618
2517,16137
2518,19094
2519,19455
